65, 3, -1
58, 2, 0
26, 27, -2
14, 38, -2
35, 24, -1
3, 42, -1
42, 14, -1
36, 18, -2
24, 25, -1
47, 12, -1
4, 44, -1
39, 17, -2
16, 33, -1
30, 25, -2
56, 3, -1
34, 23, -2
58, 2, -1
28, 27, -1
5, 46, -4
9, 38, -1
62, 3, 0
57, 9, -1
52, 8, 0
22, 29, 0
12, 36, -1
37, 13, 1
28, 24, -1
52, 11, -1
54, 9, 0
50, 8, 0
3, 50, -1
16, 33, -1
21, 35, -2
56, 5, 0
18, 33, -2
26, 24, -1
52, 9, -1
12, 32, 0
14, 35, -1
15, 34, -2
29, 20, 0
32, 24, -1
6, 46, -1
30, 27, -1
31, 21, -1
37, 20, 0
3, 47, -1
39, 15, -1
6, 42, -1
65, 4, 0
17, 33, -1
42, 17, 0
67, 4, -1
65, 2, -1
4, 41, -1
40, 19, 0
6, 43, -2
3, 39, 3
35, 17, -1
29, 23, 0
15, 34, -1
12, 37, -3
15, 34, 1
49, 11, 0
50, 9, 1
56, 4, -1
19, 23, 1
16, 34, 1
33, 16, -1
45, 16, -1
26, 29, 0
44, 11, -1
46, 8, 1
33, 19, -2
48, 11, -1
54, 2, -1
5, 37, -2
17, 30, -1
21, 32, -2
3, 41, -2
49, 11, 0
6, 44, 0
53, 7, -1
13, 33, 0
51, 7, 0
18, 28, -1
15, 33, -2
34, 16, -1
42, 17, -2
48, 13, -1
49, 10, -2
12, 35, -2
4, 39, 1
9, 37, -1
10, 39, -4
28, 25, -1
48, 16, 0
23, 30, -1
39, 15, -1
4, 44, 1
51, 11, -3
15, 35, -1
42, 12, -2
26, 26, 2
18, 29, -2
7, 43, -1
51, 5, -1
39, 11, 0
46, 14, -1
33, 24, -1
34, 20, -1
33, 17, 1
9, 39, 0
17, 34, -2
55, 6, 1
15, 32, 0
8, 36, -2
57, 7, 0
4, 47, -4
7, 38, 0
13, 33, -1
48, 13, -2
27, 25, -1
50, 6, -1
11, 35, -1
47, 18, -3
57, 4, -1
15, 32, -3
63, 2, -1
11, 38, -2
33, 17, 0
26, 27, -2
46, 11, -1
38, 16, -2
38, 17, -1
42, 17, -1
39, 14, -1
8, 38, -2
55, 10, -1
19, 28, 1
6, 41, 0
66, 2, -1
21, 26, -1
3, 43, -1
8, 42, 0
28, 19, 0
9, 39, -1
9, 42, -5
9, 40, -1
28, 22, -1
24, 30, -1
39, 10, -2
12, 33, -2
66, 2, 0
5, 46, -3
39, 14, 1
65, 3, 1
36, 16, 0
6, 46, 0
26, 20, -1
28, 22, -2
7, 40, -1
37, 18, 1
63, 3, -1
52, 6, 1
65, 2, 0
49, 8, 0
32, 22, 0
2, 46, -1
23, 29, -1
7, 44, -2
17, 35, -1
28, 20, -2
44, 7, 1
9, 37, 0
13, 39, -2
23, 27, 2
11, 37, -1
44, 12, -2
44, 13, -2
15, 32, -1
49, 7, -1
21, 28, -2
13, 28, 1
52, 12, -1
30, 17, -1
43, 10, -1
14, 35, -2
53, 6, 0
53, 9, -1
48, 10, 0
29, 22, 0
10, 41, -2
25, 22, -2
10, 35, 1
24, 29, 0
34, 14, -1
12, 28, 2
26, 23, 1
47, 10, 0
30, 24, 0
41, 13, 0
46, 12, -1
22, 30, 0
48, 9, -1
55, 7, 0
62, 2, -1
62, 3, -1
47, 15, -1
57, 8, 0
45, 11, 1
61, 2, -1
44, 17, -1
64, 1, 0
22, 27, -3
47, 11, -1
33, 26, -1
30, 26, -1
32, 24, -2
31, 20, -1
44, 16, -2
15, 30, -1
51, 5, -1
61, 2, 1
47, 16, -1
25, 22, -2
6, 40, -1
19, 35, -1
27, 22, -1
66, 3, 0
27, 21, -1
6, 42, -1
51, 8, -1
14, 33, 0
49, 8, 0
16, 32, 0
42, 12, -1
43, 9, 0
19, 31, -1
17, 33, -1
36, 20, -1
59, 3, -1
30, 22, -1
23, 28, 1
16, 33, -1
53, 8, 0
27, 20, -1
32, 19, -2
8, 41, 0
38, 19, 1
37, 21, -2
20, 33, -1
9, 35, 1
9, 45, -5
54, 6, -1
54, 6, -1
22, 29, -1
45, 12, -1
25, 23, 0
25, 25, 0
17, 28, -1
6, 37, 2
31, 23, -2
11, 39, -1
8, 34, -1
38, 21, -4
17, 39, -2
42, 12, -2
47, 6, 0
37, 20, 0
64, 4, -1
44, 10, -1
34, 19, 0
5, 41, 0
48, 7, 0
32, 16, -1
44, 8, -1
44, 11, -1
26, 25, -1
46, 8, 4
71, 3, -1
22, 28, -1
22, 28, -4
56, 5, 0
51, 3, 0
21, 34, -2
29, 26, -1
63, 5, -2
17, 35, 1
54, 9, -1
9, 35, -1
60, 4, 0
34, 19, -1
65, 3, -1
48, 17, -1
28, 24, -1
34, 17, 3
19, 28, -1
42, 16, 0
26, 28, -2
37, 17, 0
11, 41, -1
45, 16, 0
51, 4, 0
5, 40, -2
51, 10, 0
7, 40, -1
53, 6, 1
13, 40, -3
47, 5, -1
48, 14, -1
4, 46, -1
69, 2, -1
21, 24, -1
4, 46, 0
48, 10, 0
6, 39, -1
63, 2, -1
21, 26, 0
51, 9, 0
62, 4, 0
20, 27, -1
33, 19, -1
54, 10, 0
25, 26, -3
42, 12, -1
51, 11, -2
57, 3, 0
25, 29, -1
43, 15, -1
28, 27, 0
64, 2, 1
37, 16, -1
